Date,Open,High,Low,Close,Volume,Adj Close
3/31/2011,62.65,63.2,62.35,62.9,2935700,49.794
3/30/2011,62.4,63.3,62,62.75,3571100,49.675
3/29/2011,62.25,62.45,62,62.4,1706500,49.398
3/28/2011,61.8,62.45,61.5,62.35,2069100,49.359
3/25/2011,62,62,61.5,61.9,2043000,49.003
3/24/2011,62.1,62.25,61.4,61.7,1869900,48.844
3/23/2011,61.85,62,61.2,61.8,1847200,48.923
3/22/2011,61.35,61.9,61.15,61.85,3056100,48.963
3/21/2011,60.35,61.5,60.1,61.35,3844400,48.567
3/18/2011,61.25,61.65,59.85,59.95,6494700,47.459
3/17/2011,61.5,61.9,60.9,61.1,6281200,48.369
3/16/2011,62.1,62.5,62,62.25,3651800,49.28
3/15/2011,63.6,63.6,61.5,62.6,7147700,49.557
3/14/2011,63.65,64.75,63.65,64.6,3249300,50.412
3/11/2011,64.3,64.5,63.65,63.7,2487700,49.709
3/10/2011,64.1,64.3,64,64.2,1065000,50.099
3/9/2011,64.45,64.5,63.75,64.15,2769700,50.06
3/8/2011,63.1,64.2,63.05,63.7,3325800,49.709
3/7/2011,62.8,63.45,62.8,63.1,1889000,49.241
3/4/2011,63.35,63.45,63.05,63.1,3812500,49.241
3/3/2011,63.25,63.25,63,63.1,2246600,49.241
3/2/2011,63.45,63.5,63,63.05,2427500,49.202
3/1/2011,63.25,63.65,63.05,63.5,4134900,49.553
2/28/2011,63.3,63.6,62.95,63.45,3946500,49.514
2/25/2011,63.2,63.5,62.75,63.35,3076700,49.436
2/24/2011,63.4,63.5,62.75,62.95,2614000,49.124
2/23/2011,63.4,63.45,63.15,63.4,1979500,49.475
2/22/2011,63.35,63.4,62.6,63.25,1685300,49.358
2/21/2011,63.2,63.4,62.9,63.2,1419800,49.319
2/18/2011,62.3,62.95,62.25,62.85,2417800,49.046
2/17/2011,62.8,62.8,62.25,62.5,2129000,48.773
2/16/2011,62.7,62.95,62.3,62.8,1305100,49.007
2/15/2011,62.35,62.85,62.25,62.65,2945100,48.89
2/14/2011,62.1,62.85,62.1,62.6,2785000,48.851
2/11/2011,62.05,62.9,62.05,62.45,2922800,48.734
2/10/2011,63,63.05,62,62.35,5080100,48.656
2/9/2011,63.4,63.45,63,63.05,4020900,49.202
2/8/2011,63.3,63.95,63.2,63.35,4088200,49.436
2/7/2011,64.2,64.35,63.25,63.3,3732400,49.397
2/2/2011,64.2,64.5,64.05,64.35,3270000,50.217
2/1/2011,63.25,64.25,63.2,63.9,7671800,49.865
1/31/2011,63.5,63.75,63.15,63.25,3619500,49.358
1/28/2011,64.05,64.05,63.7,63.8,2057200,49.787
1/27/2011,63.9,64.1,63.75,63.85,2621300,49.826
1/26/2011,63.75,64.45,63.75,63.9,2884500,49.865
1/25/2011,64,64.2,63.8,63.8,2644800,49.787
1/24/2011,64.5,64.5,63.9,64.1,1894900,50.021
1/21/2011,64.3,64.65,63.95,64.15,2715700,50.06
1/20/2011,64.5,64.5,64,64.1,1557300,50.021
1/19/2011,64.5,64.9,64.25,64.5,1929600,50.334
1/18/2011,64.5,64.5,64,64.25,1346900,50.139
1/17/2011,64.45,64.55,63.75,64.05,1843900,49.982
1/14/2011,64.65,64.65,63.8,64,2469400,49.943
1/13/2011,64.5,64.9,64.2,64.45,1889300,50.295
1/12/2011,64.05,64.8,64.05,64.65,2470900,50.451
1/11/2011,64,64.6,64,64.55,2311900,50.373
1/10/2011,64.4,64.55,63.6,64,1697000,49.943
